Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
2,19,male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,yes,Express,yes,yes,2,Cash,Fortnightly
3,50,male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,yes,Free Shipping,yes,yes,23,Credit Card,Weekly
4,21,male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,yes,Next Day Air,yes,yes,49,PayPal,Weekly
5,45,male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,yes,Free Shipping,yes,yes,31,PayPal,Annually
6,46,male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,yes,Standard,yes,yes,14,Venmo,Weekly
7,63,male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,yes,Free Shipping,yes,yes,49,Cash,Quarterly
8,27,male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,yes,Free Shipping,yes,yes,19,Credit Card,Weekly
9,26,male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,yes,Express,yes,yes,8,Venmo,Annually
10,57,male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,yes,2-Day Shipping,yes,yes,4,Cash,Quarterly
12,30,male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,yes,Store Pickup,yes,yes,10,Bank Transfer,Fortnightly
13,61,male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,yes,Express,yes,yes,37,Venmo,Fortnightly
14,65,male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,yes,Express,yes,yes,31,PayPal,Weekly
15,64,male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,yes,Free Shipping,yes,yes,34,Debit Card,Weekly
16,64,male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,yes,Store Pickup,yes,yes,8,PayPal,Monthly
17,25,male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,yes,Next Day Air,yes,yes,44,Debit Card,Bi-Weekly
18,53,male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,yes,2-Day Shipping,yes,yes,36,Venmo,Quarterly
19,52,male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,yes,Free Shipping,yes,yes,17,Cash,Weekly
20,66,male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,yes,Standard,yes,yes,46,Debit Card,Bi-Weekly
